"Subject1Tag","Subject2Tag","HasIllegalBirthday1979_1","HasIllegalBirthday1979_2","DobDifferenceInDays1979V1979","DobDifferenceInDays1979V1981","DobDifferenceInDays1981V1979","DobDifferenceInDays1981V1981","DobDayIsMissing1979_1","DobDayIsMissing1979_2","DobDayIsMissing1981_1","DobDayIsMissing1981_2","BirthSubjectCountyMissing_1","BirthSubjectCountyMissing_2","BirthSubjectCountyEqual","BirthSubjectStateMissing_1","BirthSubjectStateMissing_2","BirthSubjectStateEqual","BirthSubjectCountryMissing_1","BirthSubjectCountryMissing_2","BirthSubjectCountryEqual","BirthMotherStateMissing_1","BirthMotherStateMissing_2","BirthMotherStateEqual","BirthMotherCountryMissing_1","BirthMotherCountryMissing_2","BirthMotherCountryEqual","BirthFatherStateMissing_1","BirthFatherStateMissing_2","BirthFatherStateEqual","BirthFatherCountryMissing_1","BirthFatherCountryMissing_2","BirthFatherCountryEqual"
10700,10800,0,0,-2197,NA,-411,NA,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11000,11100,0,0,-81,NA,NA,NA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11000,11200,0,0,1000,303,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11100,11200,0,0,1081,384,NA,NA,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11300,11400,0,0,-547,NA,NA,NA,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
11500,11600,0,0,-722,277,-358,641,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
11500,11700,0,0,-82,-355,282,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11600,11700,0,0,640,367,-359,-632,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11800,11900,0,0,-2508,-1886,-505,117,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12000,12100,0,0,-1767,NA,-2183,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12400,12500,0,0,657,1356,-408,291,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12400,12600,0,0,-319,NA,-1384,NA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
12500,12600,0,0,-976,NA,-1675,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
13400,13500,0,0,-2503,-1178,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13700,13800,0,0,-659,NA,-805,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13700,13900,0,0,-670,NA,-816,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13800,13900,0,0,-11,NA,NA,NA,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14200,14300,0,0,1383,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
14200,14400,0,0,1420,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14300,14400,0,0,37,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
14500,14600,0,0,1717,1562,NA,NA,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14800,14900,0,0,-869,-778,NA,NA,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15100,15200,0,0,200,NA,NA,NA,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
15300,15400,0,0,-15,-951,NA,NA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15700,15800,0,0,-335,NA,409,NA,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
15700,15900,0,0,-622,NA,122,NA,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
15800,15900,0,0,-287,NA,NA,NA,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
16000,16100,0,0,1077,764,-159,-472,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
16200,16300,0,0,268,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16500,16600,0,0,928,1326,-269,129,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
16800,16900,0,0,-120,-2247,813,-1314,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17500,17600,0,0,-1493,775,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
17500,17700,0,0,-1366,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
17600,17700,0,0,127,NA,-2141,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18100,18200,0,0,-331,-2395,NA,NA,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
18300,18400,0,0,1064,NA,1165,NA,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18300,18500,0,0,2136,8,2237,109,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
18400,18500,0,0,1072,-1056,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18600,18700,0,0,-200,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
19000,19100,0,0,1564,484,477,-603,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19300,19400,0,0,1751,1416,NA,NA,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
20600,20700,0,0,-267,NA,410,NA,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
21000,21100,0,0,1175,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21200,21300,0,0,-11,NA,NA,NA,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21200,21400,0,0,251,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21300,21400,0,0,262,NA,NA,NA,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
21600,21700,0,0,1161,1544,519,902,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
21900,22000,0,0,440,NA,671,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
22100,22200,0,0,114,NA,-672,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
22100,22300,0,0,173,724,-613,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
22200,22300,0,0,59,610,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
22100,22400,0,0,188,NA,-598,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
22200,22400,0,0,74,NA,NA,NA,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22300,22400,0,0,15,NA,-536,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
22500,22600,0,0,-2047,-1103,-229,715,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
23100,23200,0,0,438,-115,-1839,-2392,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
23100,23300,0,0,1412,2324,-865,47,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0
23200,23300,0,0,974,1886,1527,2439,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23800,23900,0,0,644,31,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23800,24000,0,0,131,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
23900,24000,0,0,-513,NA,100,NA,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23800,24100,0,0,-1415,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
23900,24100,0,0,-2059,NA,-1446,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24000,24100,0,0,-1546,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24200,24300,0,0,578,-1225,NA,NA,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24500,24600,0,0,-2285,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
24700,24800,0,0,-201,29,NA,NA,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
24700,24900,0,0,2184,NA,NA,NA,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
24800,24900,0,0,2385,NA,2155,NA,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25100,25200,0,0,123,NA,2224,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
25400,25500,0,0,817,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
25600,25700,0,0,-1571,-5,NA,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
25800,25900,0,0,598,NA,-823,NA,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26000,26100,0,0,1984,225,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
26200,26300,0,0,-365,NA,NA,NA,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
27000,27100,0,0,305,NA,-1071,NA,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
27200,27300,0,0,-40,NA,-444,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
27400,27500,0,0,840,-1193,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28100,28200,0,0,-473,NA,NA,NA,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
28300,28400,0,0,-135,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
28300,28500,0,0,972,2270,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28400,28500,0,0,1107,2405,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
28700,28800,0,0,-2392,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28700,28900,0,0,-2345,-2118,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
28800,28900,0,0,47,274,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29200,29300,0,0,251,NA,NA,NA,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0
29800,29900,0,0,2398,NA,1681,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
30000,30100,0,0,-665,532,NA,NA,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
30000,30200,0,0,-261,NA,NA,NA,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
30100,30200,0,0,404,NA,-793,NA,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,30300,0,0,318,-1158,NA,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
30200,30300,0,0,579,-897,NA,NA,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30100,30300,0,0,983,-493,-214,-1690,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
30000,30400,0,0,1162,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
30200,30400,0,0,1423,NA,NA,NA,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
30100,30400,0,0,1827,NA,630,NA,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
30300,30400,0,0,844,NA,2320,NA,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
30700,30800,0,0,1756,472,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
30900,31000,0,0,-2140,-1648,-1606,-1114,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30900,31100,0,0,9,NA,543,NA,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0
31000,31100,0,0,2149,NA,1657,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0
31200,31300,0,0,-1000,NA,NA,NA,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31900,32000,0,0,-1649,-1274,NA,NA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32100,32200,0,0,-466,NA,242,NA,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
32300,32400,0,0,707,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32300,32500,0,0,758,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32400,32500,0,0,51,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32800,32900,0,0,1285,633,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33000,33100,0,0,1832,NA,1216,NA,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33000,33200,0,0,366,NA,-250,NA,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33100,33200,0,0,-1466,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
33400,33500,0,0,602,NA,1042,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33800,33900,0,0,2103,-130,847,-1386,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33800,34000,0,0,1651,NA,395,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
33900,34000,0,0,-452,NA,1781,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
34100,34200,0,0,517,NA,1492,NA,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34800,34900,0,0,689,NA,-854,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34800,35000,0,0,2039,NA,496,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34900,35000,0,0,1350,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35100,35200,0,0,2429,NA,2302,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35300,35400,0,0,414,NA,NA,NA,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35300,35500,0,0,1766,NA,NA,NA,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
35400,35500,0,0,1352,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
35700,35800,0,0,531,-994,NA,NA,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
35700,35900,0,0,1078,1058,NA,NA,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0
35800,35900,0,0,547,527,2072,2052,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0
36200,36300,0,0,852,NA,1796,NA,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
36400,36500,0,0,591,1272,NA,NA,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
36400,36600,0,0,-294,1292,NA,NA,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36500,36600,0,0,-885,701,-1566,20,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36900,37000,0,0,-1482,NA,855,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
37100,37200,0,0,2371,848,1210,-313,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
37300,37400,0,0,-102,378,287,767,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37300,37500,0,0,805,NA,1194,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37400,37500,0,0,907,NA,427,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
37700,37800,0,0,264,NA,NA,NA,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37700,37900,0,0,657,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37800,37900,0,0,393,NA,NA,NA,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38200,38300,0,0,2363,2563,1666,1866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38200,38400,0,0,1892,NA,1195,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
38300,38400,0,0,-471,NA,-671,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
38500,38600,0,0,-704,876,-1455,125,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
38500,38700,0,0,1229,NA,478,NA,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
38600,38700,0,0,1933,NA,353,NA,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
39000,39100,0,0,115,-800,-936,-1851,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39200,39300,0,0,-129,NA,NA,NA,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
39900,40000,0,0,-59,878,-1619,-682,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0
