"R0000100","R0000500","R0000300","R0000400","R0410300","R0410100","R0410200","R0000900","R0001000","R0219114","R0006200","R0006300","R0007400","R0007500"
54,1957,7,28,1963,3,10,475,72,34,31,5,-3,-3
55,1960,6,16,1964,9,10,178,-1,39,-2,-2,-2,49
56,1961,11,15,1963,11,9,789,32,1,69,16,59,-3
57,1962,4,22,1959,11,8,635,52,22,40,-2,46,7
58,1957,12,5,1962,6,-5,146,32,49,19,20,39,45
59,1959,9,2,1962,11,-5,261,4,20,-3,34,73,45
60,1958,9,22,1958,-5,1,317,-2,26,-3,24,-3,50
61,1960,11,23,1964,7,3,745,40,38,74,35,64,23
62,1960,1,28,1959,10,3,291,-2,38,68,10,-4,19
63,1961,3,11,1960,1,-5,-2,4,9,4,24,-2,29
64,1960,9,19,1958,4,5,520,71,35,66,29,-2,4
65,1963,1,22,-5,3,6,-4,8,25,66,-4,78,11
66,1962,10,1,1958,7,27,765,36,-4,73,22,42,9
67,1963,9,21,1959,2,21,640,38,22,61,12,40,24
68,1959,6,25,-5,3,3,318,37,-3,-2,-2,-4,5
69,1958,9,14,1960,11,2,531,28,38,42,2,16,-4
70,1964,12,-3,1959,2,16,694,21,47,53,-2,9,39
71,1957,12,-3,1963,7,26,383,-2,27,38,41,-3,27
72,1964,12,19,1961,9,19,145,66,38,55,29,-2,1
73,1960,7,16,1962,2,14,408,-4,6,37,12,7,-2
74,1959,6,-3,1957,-5,31,594,48,16,47,26,12,5
75,1957,5,-3,1959,6,2,734,44,48,69,27,64,39
76,1963,11,16,1959,10,16,211,28,-3,72,29,-2,8
77,1959,12,1,1959,5,25,824,22,-4,-3,-3,-4,30
78,1961,3,29,1960,6,4,656,9,27,-4,9,46,26
79,1964,7,14,1964,10,27,-1,13,1,51,45,6,-3
80,1959,9,4,1959,7,3,225,-4,27,-3,-4,37,44
81,1959,5,19,1962,11,7,698,63,45,52,33,-3,44
82,1960,12,9,1963,9,11,1,33,-3,-2,30,57,32
83,1962,7,-2,-5,3,6,-3,-3,-4,-2,4,59,-2
84,1959,9,20,1961,9,10,8,39,40,-2,21,19,-4
85,1959,5,13,-5,12,10,-4,37,16,27,40,18,26
86,1960,9,30,1961,9,21,470,61,-3,33,37,78,32
87,1957,9,-3,1961,8,4,29,13,27,48,21,76,40
88,1957,10,25,-5,11,16,632,17,-3,65,37,30,9
89,1960,2,24,1959,9,29,430,17,19,39,28,19,42
90,1962,8,28,1961,7,-5,799,49,23,35,46,10,-3
91,1962,8,-3,1958,5,24,390,-4,1,66,44,-3,8
92,1958,1,9,1961,12,-5,55,32,38,45,35,56,28
93,1962,11,4,-5,2,14,723,77,21,25,-2,60,-4
94,1958,1,-3,1957,3,28,249,14,-3,65,27,59,31
95,1957,9,26,1958,9,18,-4,33,37,23,43,24,12
96,1961,2,-3,1963,5,15,604,-2,9,64,-2,-4,17
97,1960,3,11,1964,6,12,176,1,4,61,40,20,-4
98,1962,7,-2,1957,10,24,-1,63,25,2,42,12,29
99,1964,9,10,1958,2,-5,267,-1,1,22,4,3,25
100,1961,7,7,1964,6,14,718,8,46,45,37,10,11
101,1957,10,-3,1957,2,28,-1,15,-3,25,13,15,34
102,1961,8,13,1962,-5,31,369,24,36,65,-2,-3,31
103,1962,11,-3,1963,3,8,-4,-3,2,14,-4,5,25
104,1963,9,-2,1964,11,19,91,-4,8,-4,23,27,24
105,1963,5,24,1960,4,23,263,56,12,22,46,53,34
106,1958,7,-2,1957,9,-5,795,38,-4,25,40,26,26
107,1958,7,-2,1963,6,5,649,79,13,26,46,9,-2
108,1964,7,20,1960,1,-5,645,65,-3,37,50,75,16
109,1959,8,23,1962,1,2,552,47,-3,32,25,75,9
110,1964,4,22,-5,8,31,587,68,15,39,44,70,4
111,1964,7,12,1962,5,-5,-1,74,25,25,40,57,13
112,1961,7,27,1963,6,24,652,-1,17,-2,1,60,45
113,1960,12,-3,-5,7,5,378,67,21,52,24,-4,-4
114,1962,6,-3,-5,8,16,361,-2,1,51,43,15,49
115,1959,6,24,1960,6,22,395,67,41,-2,42,63,48
116,1961,6,-2,1958,9,20,393,30,20,-2,11,54,28
117,1959,9,14,1960,6,13,450,9,-3,49,9,28,25
118,1957,1,13,1962,7,9,832,39,20,28,13,28,14
119,1963,11,26,1962,3,14,305,-3,25,-4,11,58,44
120,1959,3,-2,1958,1,23,777,26,27,62,20,-2,4
121,1964,1,-3,1958,-5,21,242,36,16,74,40,10,15
122,1958,6,13,-5,6,19,120,51,38,51,17,55,35
123,1959,8,2,1957,8,15,507,59,39,22,-3,-2,37
124,1964,1,-3,1961,2,14,516,22,22,27,7,75,23
125,1962,3,29,1960,4,29,806,19,38,19,14,-2,32
126,1964,11,29,-5,6,30,811,35,-3,-1,48,9,15
127,1959,6,21,-5,9,9,602,2,25,2,-3,62,-2
128,1960,9,12,-5,6,-5,819,16,-4,-1,15,-3,27
129,1961,4,13,1962,11,-5,747,-1,3,61,9,74,17
130,1962,10,-2,1962,6,29,432,21,47,-4,2,61,27
131,1960,3,29,1957,-5,-5,398,20,-4,-3,19,40,23
132,1963,8,22,1957,10,3,759,29,-4,-4,22,23,23
133,1962,8,13,-5,8,12,215,67,18,-2,-2,39,42
134,1957,1,19,-5,-5,3,-2,59,37,13,47,24,20
135,1963,11,27,1960,4,11,461,29,12,51,16,71,-2
136,1957,5,31,1960,-5,29,366,14,43,18,14,21,5
137,1958,10,15,1958,5,22,365,37,14,7,15,44,6
138,1960,8,4,1959,-5,-5,24,-3,45,67,13,44,12
139,1960,8,-2,-5,1,6,146,35,32,-3,12,6,48
140,1960,2,-2,1962,-5,16,71,-2,-3,21,17,-4,3
141,1961,1,31,-5,6,18,815,77,49,50,26,5,-2
142,1962,3,21,1962,8,-5,1,63,42,61,45,71,33
143,1958,6,7,-5,-5,15,194,45,22,22,-2,69,-3
144,1958,5,1,1960,-5,10,549,72,22,41,47,-4,27
145,1964,3,17,1958,-5,22,106,-1,32,18,19,8,35
146,1959,7,5,1959,12,7,-3,-4,-4,73,35,76,30
147,1961,10,8,1958,-5,14,-4,35,43,-2,30,27,3
148,1959,10,19,1963,7,-5,428,72,37,32,12,59,4
149,1962,3,6,1961,12,5,-2,-4,11,-1,21,44,47
150,1962,5,26,1960,-5,7,599,34,39,-2,3,18,16
151,1964,3,29,1964,-5,20,154,4,11,48,6,-2,40
152,1963,9,11,1957,-5,4,-4,-3,-3,38,40,55,17
153,1961,10,31,-5,5,4,443,26,47,23,17,53,49
154,1961,11,-3,1964,6,8,621,-3,49,44,38,41,-4
155,1959,4,20,1958,-5,-5,177,53,24,3,16,38,31
156,1959,2,3,1961,10,5,75,-1,18,78,29,44,18
157,1957,5,-3,1959,5,29,437,1,-3,70,36,-4,5
158,1958,4,-2,1957,-5,-5,-2,29,49,58,-3,79,50
159,1959,1,27,1958,7,-5,196,57,26,53,-2,58,-4
160,1964,4,6,1960,11,17,366,-2,29,54,26,39,33
161,1961,4,25,1962,3,4,566,54,21,-2,-3,-2,35
162,1962,7,10,-5,9,-5,800,55,37,76,-2,26,4
163,1961,10,15,-5,5,27,760,50,45,25,41,9,14
164,1958,4,-3,1960,12,20,402,19,3,-3,46,9,-3
165,1964,6,2,1961,2,21,628,71,-4,76,-3,20,48
166,1961,11,17,1960,10,15,635,32,10,15,8,-2,30
167,1960,7,17,1961,3,5,541,32,7,-4,-4,48,5
168,1957,7,-3,1960,2,3,265,51,42,2,1,70,19
169,1957,11,12,1963,9,9,189,59,-4,8,3,3,29
170,1963,6,20,1959,6,1,387,53,22,25,46,11,32
171,1960,1,11,1957,5,8,681,6,8,15,38,-2,34
172,1963,3,-2,1959,6,8,563,17,45,-2,48,78,48
173,1963,11,-3,1964,2,12,778,23,34,72,-2,57,49
174,1959,10,20,1964,10,13,608,76,36,25,27,75,11
175,1959,2,-2,1964,7,-5,341,56,44,27,4,-2,-4
176,1963,3,19,1957,1,1,528,68,27,71,41,75,33
177,1962,11,12,-5,4,7,88,41,-4,72,3,25,9
178,1961,5,-2,1964,-5,30,339,75,6,24,4,-4,37
179,1964,6,30,1962,3,17,-3,8,-3,72,-3,-4,-2
180,1959,8,25,1958,-5,6,-1,78,43,21,23,28,36
181,1957,8,24,1961,5,-5,-3,-2,2,-4,19,74,16
182,1958,7,21,1964,3,15,525,6,-4,62,45,11,9
183,1963,6,14,1963,9,23,153,-2,49,67,50,-4,43
184,1960,7,-3,1964,-5,-5,145,17,34,60,22,33,48
185,1957,8,8,1963,6,6,243,43,50,-3,21,35,33
186,1962,5,12,-5,5,22,-3,20,38,-2,14,1,6
187,1962,11,28,1964,-5,10,549,47,29,77,-4,28,50
188,1963,9,19,1961,-5,-5,682,21,7,31,49,31,-2
189,1958,9,4,1958,8,29,-1,46,-3,-3,24,-3,27
190,1964,7,30,1961,8,8,642,-4,27,62,27,46,6
191,1960,4,18,1963,4,3,-2,73,50,68,-4,72,20
192,1957,7,-3,1960,10,28,-2,15,46,52,22,54,-4
193,1963,12,18,1958,9,-5,261,63,41,14,38,-3,19
194,1959,3,3,1960,2,1,742,-4,18,6,25,-2,24
195,1963,9,-2,-5,-5,10,231,43,-3,-3,38,36,24
196,1962,2,-2,-5,5,5,178,71,45,4,44,38,1
197,1963,9,-3,1964,1,25,-2,46,48,-3,10,54,27
198,1960,12,24,1963,-5,21,419,26,-4,59,48,5,-4
199,1959,2,27,1961,3,23,325,-1,22,5,1,-4,-4
200,1961,10,29,1963,10,6,282,35,3,23,33,28,38
201,1957,3,-2,-5,10,8,429,27,14,78,9,-4,41
202,1960,1,27,1958,6,21,320,19,4,48,38,11,35
203,1963,1,-3,-5,5,7,247,50,3,33,26,67,42
204,1957,7,-3,1960,7,24,153,73,35,38,17,61,19
205,1960,9,9,1959,4,8,581,63,8,38,36,12,3
206,1961,3,23,1963,1,29,572,50,-3,-1,42,-2,45
207,1961,12,-3,1957,-5,3,-1,-1,6,12,-2,65,27
208,1961,4,12,1958,3,-5,438,36,14,56,-2,57,48
209,1961,6,-2,-5,5,26,-2,58,14,77,8,77,32
210,1963,12,22,1962,-5,5,796,78,13,32,9,9,48
211,1960,10,3,1962,-5,2,680,12,43,56,20,37,31
212,1963,4,19,-5,5,18,73,8,-4,46,44,68,19
213,1963,4,30,1961,-5,-5,181,-3,20,65,-4,58,21
214,1962,8,11,1957,6,-5,429,14,25,-1,35,57,5
215,1961,3,1,-5,1,27,396,18,4,2,-4,-3,37
216,1962,11,16,1961,2,12,809,-3,-3,14,-2,-4,13
217,1959,9,12,1958,8,25,560,50,16,9,11,48,30
218,1959,5,-2,-5,1,15,-3,25,-4,53,16,-3,14
219,1960,6,9,1961,1,26,453,71,-4,41,-3,27,12
220,1959,3,27,1961,1,-5,271,17,8,53,23,-3,7
221,1960,4,7,1958,2,11,153,76,10,27,38,-2,-2
222,1959,12,-2,1960,-5,-5,482,71,49,30,-3,25,19
223,1959,10,17,1958,4,14,743,58,4,54,-3,-3,33
224,1959,10,2,1961,12,-5,583,49,24,41,20,45,12
225,1958,5,8,1963,4,30,386,44,12,-3,42,49,23
226,1963,12,-3,1961,5,15,-2,1,15,14,8,-2,37
227,1958,4,25,1960,5,-5,131,20,-3,-2,32,56,43
228,1961,9,7,1964,3,-5,279,-1,-4,67,24,29,18
229,1963,8,7,1958,10,-5,660,29,10,27,-2,38,33
230,1959,4,13,-5,1,17,-3,46,22,70,31,37,-2
231,1963,10,27,1957,8,2,489,77,36,-1,-3,-2,-4
232,1962,8,-2,1964,2,19,557,9,-3,42,27,59,13
233,1959,12,-2,1957,6,16,411,-3,50,2,33,-3,43
234,1962,10,17,1959,-5,23,386,20,8,-1,8,74,2
235,1961,11,16,1962,10,24,284,38,19,36,1,51,37
236,1963,4,6,1962,11,25,350,10,-3,-2,35,59,31
237,1963,10,-2,1963,4,-5,-4,15,35,-2,8,41,34
238,1960,11,2,-5,-5,31,682,78,14,-3,34,32,47
239,1959,1,28,1960,10,2,540,-2,33,62,49,46,17
240,1960,6,24,1964,8,-5,616,56,-3,5,23,44,4
241,1964,9,17,1962,-5,16,168,48,24,-4,14,63,9
242,1959,5,12,1963,5,-5,-4,68,41,37,29,3,3
243,1957,10,11,1962,9,18,232,-2,10,-3,25,42,35
244,1963,5,24,-5,-5,16,632,-3,-4,77,12,48,20
245,1957,4,-2,-5,6,5,130,27,31,-1,1,16,37
246,1963,7,18,1963,12,-5,683,9,12,1,12,57,37
247,1963,10,-2,1957,-5,-5,799,21,1,-1,-4,30,2
248,1964,5,3,1963,9,16,376,-3,-3,26,3,66,45
249,1957,10,22,1957,-5,9,-1,-3,47,75,12,5,18
250,1962,6,9,1960,7,8,680,40,30,70,17,40,46
251,1957,8,25,1963,5,27,-2,39,28,23,29,29,-4
252,1957,4,24,-5,1,29,554,38,30,14,1,47,-3
253,1960,9,1,1963,5,4,-1,13,37,51,15,-2,24
254,1964,10,23,-5,5,1,777,49,-4,46,5,48,-2
255,1962,7,29,1964,8,-5,763,33,37,58,-4,-4,37
256,1959,1,31,1958,8,-5,187,-2,8,44,7,-3,-4
257,1963,5,21,1959,2,5,437,56,49,-1,34,-4,32
258,1963,2,-3,1959,3,27,-2,61,27,23,38,49,-2
259,1961,6,27,-5,5,-5,770,66,48,32,34,29,19
260,1963,1,30,1958,-5,21,304,60,-4,36,24,-4,-2
261,1957,8,25,1962,6,19,135,40,13,52,16,9,36
262,1962,12,-2,-5,-5,22,463,79,43,68,35,14,13
263,1963,12,-3,-5,-5,-5,19,56,23,60,6,-2,-4
264,1962,4,9,1962,8,16,-1,-1,25,-3,46,48,43
265,1957,1,-2,1960,2,20,-2,50,3,2,15,66,32
266,1957,7,1,1964,-5,16,177,7,49,-3,49,27,39
267,1964,5,16,1963,3,30,224,-3,-3,-1,-3,75,50
268,1962,7,14,1959,-5,22,629,65,34,67,-4,40,1
269,1959,9,25,1960,-5,31,836,-1,47,64,36,-2,41
270,1964,3,5,1960,5,29,389,67,13,79,-3,50,50
271,1963,5,5,1959,2,-5,82,25,-4,43,16,58,8
272,1959,12,-3,1958,11,6,225,6,42,12,-3,15,17
273,1960,1,24,1959,-5,17,358,60,23,79,28,76,-2
274,1961,7,28,1962,9,-5,242,13,-4,8,13,60,1
275,1959,4,10,1964,11,2,270,65,19,24,6,36,20
276,1957,8,20,1964,12,12,423,19,-4,-4,21,7,36
277,1957,8,11,1964,9,11,-4,17,23,69,47,50,-2
278,1961,9,-2,1957,1,-5,311,23,24,13,-2,-3,19
279,1957,5,22,1958,5,9,511,-3,32,61,41,40,20
280,1961,9,-3,1964,3,-5,767,2,-3,33,-4,43,18
281,1958,4,26,-5,9,16,-2,24,-3,-1,9,34,1
282,1959,8,12,-5,11,-5,692,-1,2,20,30,-4,32
283,1963,9,6,-5,-5,-5,687,44,23,67,13,21,39
284,1964,1,19,-5,1,1,609,11,22,21,-4,25,-2
285,1961,1,7,1957,6,19,363,46,43,21,27,57,6
286,1963,3,-2,1964,6,28,630,-3,31,52,47,58,-2
287,1958,4,29,-5,11,12,597,10,-3,-4,23,51,6
288,1964,11,-3,1959,-5,30,152,23,30,75,38,49,50
289,1964,9,29,1964,2,15,478,76,42,34,45,20,-3
290,1962,8,31,1959,10,1,453,63,40,15,12,22,14
291,1964,9,-3,1960,9,25,-1,75,41,-1,48,75,4
292,1962,2,22,-5,3,-5,733,43,47,31,-3,11,-4
293,1961,6,16,-5,3,14,-4,-4,-4,10,-4,58,-2
294,1964,1,8,1962,1,8,687,21,-4,-4,-4,-3,11
295,1961,3,20,1960,1,6,608,-4,12,25,27,60,20
296,1957,8,27,1962,3,31,461,41,16,-3,-3,58,43
297,1960,12,-2,-5,6,23,148,18,11,9,45,57,40
298,1964,3,16,1962,3,30,208,52,-4,69,2,-3,-2
299,1957,8,22,1961,-5,25,816,16,39,-1,-3,78,1
300,1960,11,20,-5,5,-5,298,32,48,-4,19,-4,-3
301,1962,9,16,1959,6,7,-4,-2,-4,66,46,42,25
302,1961,8,8,1957,3,-5,262,-3,15,5,50,38,3
303,1960,1,7,1964,1,22,729,67,-4,58,1,68,46
304,1957,9,-3,-5,6,1,826,69,-3,43,-2,24,35
305,1960,10,-3,1962,-5,13,558,10,-3,-4,1,17,4
306,1960,6,-2,1960,10,19,570,10,36,40,20,64,-3
307,1963,7,21,-5,3,17,678,-2,29,79,13,22,-3
308,1958,9,29,1962,4,5,360,53,4,38,22,-3,-2
309,1957,6,14,1958,11,30,371,-1,-3,49,45,69,42
310,1963,4,24,1961,12,18,543,27,10,-3,14,10,37
311,1957,6,5,-5,6,24,290,74,-3,-1,12,-3,-2
312,1961,4,18,1959,-5,3,409,44,-3,42,10,53,19
313,1964,1,13,1963,9,-5,-4,20,41,60,9,6,-4
314,1963,9,19,-5,2,6,-4,-3,48,37,2,15,13
315,1962,10,-3,1960,-5,3,-3,-2,45,76,29,38,23
316,1964,6,1,1957,5,-5,94,-3,6,-1,33,-3,44
317,1962,12,15,1958,5,31,630,13,15,-4,7,34,-2
318,1961,5,14,1960,4,-5,158,34,-4,64,42,68,-4
319,1958,9,21,-5,-5,23,670,-1,16,8,8,2,47
320,1963,3,28,1962,3,18,616,16,-4,63,11,5,8
321,1962,9,5,1964,8,13,710,16,-3,10,29,2,-4
322,1963,12,-3,-5,9,11,614,40,-4,77,-2,74,14
323,1963,11,12,-5,11,13,829,9,-4,21,15,38,4
324,1961,12,5,-5,-5,7,610,9,4,52,3,47,18
325,1961,10,15,-5,6,14,111,69,40,69,49,-4,37
326,1958,2,21,1958,10,6,435,3,-4,74,-3,47,8
327,1962,9,3,1959,9,29,792,55,37,42,40,66,39
328,1964,1,19,1958,-5,-5,-2,-3,49,70,49,46,33
329,1960,7,13,1962,4,26,837,43,33,9,14,48,45
330,1964,1,2,1962,4,26,-2,21,-3,22,18,14,9
331,1958,12,27,-5,-5,25,-4,66,23,-1,40,76,12
332,1963,1,1,1959,-5,1,123,22,14,67,-2,66,35
333,1963,6,12,1957,9,25,479,77,-3,6,33,44,3
334,1963,5,8,1964,7,21,-1,19,18,78,27,24,-4
335,1961,9,13,1962,-5,3,548,14,30,45,10,23,20
336,1963,10,5,-5,10,12,186,-4,24,-3,30,66,8
337,1963,5,12,1964,-5,14,618,34,32,71,-2,-2,1
338,1962,12,9,1959,7,2,509,51,9,70,31,-3,1
339,1957,3,7,1963,4,18,836,-2,34,58,9,10,21
340,1958,6,2,-5,-5,18,834,6,6,-4,-2,51,33
341,1961,7,26,1964,3,27,431,73,15,69,34,56,46
342,1960,2,25,1960,-5,-5,-4,-4,37,1,9,35,20
343,1961,10,25,1960,12,10,681,72,47,7,37,73,7
344,1964,8,30,1958,5,24,739,-2,4,-3,43,15,12
345,1959,8,21,1964,1,12,-4,-1,29,63,40,46,13
346,1963,8,27,1964,12,-5,838,55,20,-1,19,7,40
347,1962,12,28,-5,1,30,245,3,32,49,11,35,21
348,1964,6,28,1960,4,7,708,73,46,3,40,54,22
349,1962,8,9,1963,-5,17,344,-1,45,42,47,31,46
350,1958,11,28,-5,2,24,775,-1,4,16,36,29,18
351,1964,12,23,1964,8,18,739,58,24,72,50,25,40
352,1958,4,30,-5,2,18,64,57,7,30,5,-4,45
353,1964,6,-2,1964,-5,-5,724,-3,11,56,1,18,20
354,1963,4,28,1958,-5,22,172,12,41,72,21,33,47
355,1959,8,-3,1962,-5,27,810,34,2,63,-2,33,-3
356,1960,12,3,1964,-5,27,-3,5,19,30,23,8,16
357,1961,1,28,1958,5,-5,-2,48,26,45,-3,72,-3
358,1959,8,16,1963,10,19,180,-3,-3,-3,18,64,10
359,1958,2,-2,1958,3,7,357,-4,18,-3,-2,-3,-4
360,1959,12,-3,1959,2,7,647,17,19,55,15,-4,27
361,1962,11,-3,1960,7,21,750,12,47,-1,33,-4,32
362,1962,4,-3,1964,11,14,48,56,48,68,19,-4,-3
363,1959,12,-2,-5,2,9,777,-4,-4,-1,20,54,4
364,1964,1,27,1964,-5,-5,642,62,40,-1,31,62,2
365,1962,6,-3,1960,8,3,440,73,-3,36,2,4,29
366,1964,11,16,1960,7,14,-3,38,12,6,45,71,14
367,1963,6,21,1958,9,15,688,27,18,-4,25,11,43
368,1963,3,24,1962,3,-5,193,-3,47,15,30,-2,24
369,1957,12,5,1964,4,29,296,60,10,58,7,10,-4
370,1961,12,26,-5,6,9,512,18,41,73,10,32,-2
371,1964,2,11,1960,12,7,285,-1,18,-3,2,6,26
372,1957,8,-2,1961,10,16,82,71,50,2,-2,27,20
373,1960,5,9,1961,6,2,557,22,-3,60,6,17,23
374,1960,8,19,1959,4,27,-2,1,33,-1,32,40,6
375,1958,2,24,-5,1,31,47,40,37,13,18,-3,44
376,1959,2,10,-5,12,-5,-2,73,30,64,19,58,17
377,1963,7,6,-5,7,17,305,45,12,33,15,17,22
378,1962,10,-2,-5,-5,-5,586,-3,33,50,-4,1,43
379,1961,9,17,-5,4,2,71,31,16,24,24,41,18
380,1963,1,-2,1959,7,14,803,57,27,13,44,17,-2
381,1961,6,21,1959,12,-5,612,76,48,24,32,68,31
382,1964,9,18,1962,10,22,784,30,29,56,47,44,40
383,1958,3,31,1957,9,12,189,51,42,53,30,-3,2
384,1959,7,-2,1957,-5,-5,327,62,47,38,-4,3,-4
385,1961,8,3,1959,7,14,-3,15,9,3,12,-2,-4
386,1963,7,8,1959,3,11,785,77,-3,72,39,45,40
387,1958,3,23,1961,9,-5,-3,73,-4,56,36,49,-3
388,1958,9,11,1961,9,17,264,-2,38,74,18,72,35
389,1958,10,18,1963,7,1,150,-2,42,76,14,53,15
390,1960,2,20,1957,4,5,-2,-3,-3,39,7,68,26
391,1959,10,28,1962,4,30,-4,38,29,20,31,69,8
392,1961,7,-3,1964,-5,9,211,71,-4,-4,4,24,-2
393,1961,11,21,-5,7,22,449,-1,-4,-3,26,19,5
394,1957,1,4,1958,3,28,-2,68,26,53,31,-3,42
395,1964,5,-2,-5,4,-5,815,47,29,34,18,57,-2
396,1963,3,-3,1962,2,-5,197,60,48,49,27,36,4
397,1960,2,25,1957,9,29,264,-3,5,18,40,76,15
398,1958,4,26,1963,6,-5,440,73,13,-1,15,13,38
399,1963,5,1,1959,1,22,822,68,26,54,41,-3,39
400,1963,6,29,1960,12,4,769,26,-4,-4,7,-3,22
401,1962,5,23,-5,10,6,506,-2,50,7,14,52,35
402,1959,12,25,-5,-5,21,825,66,-3,28,19,35,37
403,1959,4,7,1960,-5,5,20,31,-3,24,30,30,19
404,1958,7,-3,-5,11,11,-3,-2,32,27,50,-4,30
405,1960,1,-2,1957,1,13,-1,49,19,30,2,3,37
406,1958,9,29,1964,-5,2,480,17,7,46,-2,58,38
407,1961,2,26,1958,3,11,213,27,7,18,2,43,8
408,1962,2,16,1958,3,26,339,-3,-3,47,7,33,35
409,1959,9,26,1957,12,29,111,54,20,46,22,70,30
410,1964,2,27,1962,10,-5,168,33,-3,42,21,25,1
411,1962,6,14,1963,5,-5,397,63,16,58,22,35,2
412,1964,1,31,1958,-5,11,835,51,14,47,4,29,24
413,1961,12,12,1963,3,-5,-1,67,9,43,37,75,37
414,1962,5,20,1958,5,31,345,-2,45,-4,5,73,35
415,1959,12,4,1960,12,23,-2,16,29,27,-3,6,7
416,1960,11,5,1963,10,17,575,57,13,18,-4,67,-4
417,1957,3,24,1961,8,6,564,58,47,20,29,22,7
418,1963,8,28,1959,10,15,121,77,50,53,50,4,42
419,1961,5,13,1963,11,-5,-3,32,23,53,47,35,1
420,1961,11,26,1959,9,-5,160,-3,-3,-2,-3,45,47
421,1959,8,15,-5,10,24,827,-2,-3,46,19,-3,32
422,1959,7,-3,-5,2,12,331,25,20,25,46,60,35
423,1963,12,-2,1957,12,22,-2,66,24,17,35,62,42
424,1958,6,3,1959,8,24,133,14,13,30,-4,-2,-4
425,1959,10,6,-5,3,21,-3,14,27,36,17,36,28
426,1958,1,9,-5,8,1,341,62,-3,-2,45,62,19
427,1961,7,27,-5,9,22,552,74,49,32,20,45,12
428,1960,5,8,1964,-5,28,486,79,34,-1,19,62,19
429,1958,12,12,1962,11,29,-4,33,23,44,11,-4,47
430,1962,12,-3,1961,5,31,786,66,46,10,28,25,3
431,1961,8,1,-5,8,14,-4,-3,22,58,23,79,-2
432,1957,2,14,1957,-5,14,794,21,44,-1,-2,51,35
